Vendedor;Produto;Estado;Mês;Cliente;Valor;Quantidade;Total
Renata;Rodas aro 14";SP;Maio;Pessoa Jurídica;980;37;36260
Caio;Rodas aro 15";PB;Setembro;Pessoa Física;1020;35;35700
Priscila;Rodas aro 16";GO;Janeiro;Pessoa Física;1340;35;46900
Mirian;Rodas aro 17";BA;Agosto;Pessoa Física;1870;34;63580
Murilo;Rodas aro 18";RJ;Abril;Pessoa Jurídica;1910;32;61120
Roberto;Rodas aro 19";MG;Março;Pessoa Jurídica;2240;30;67200
Myslaine;Rodas aro 20";ES;Abril;Pessoa Jurídica;2479;30;74370
Katia;Rodas aro 21";PA;Março;Pessoa Física;3200;27;86400
Vanessa;Rodas aro 22";BA;Dezembro;Pessoa Jurídica;3921;24;94104
Renata;Rodas aro 13";RN;Outubro;Pessoa Física;780;23;17940
Caio;Rodas aro 14";RR;Abril;Pessoa Física;980;22;21560
Priscila;Rodas aro 15";SP;Maio;Pessoa Física;1020;22;22440
Mirian;Rodas aro 16";PI;Agosto;Pessoa Jurídica;1340;21;28140
Murilo;Rodas aro 17";MA;Março;Pessoa Jurídica;1870;20;37400
Roberto;Rodas aro 18";AM;Fevereiro;Pessoa Jurídica;1910;19;36290
Myslaine;Rodas aro 19";MS;Fevereiro;Pessoa Física;2240;19;42560
Katia;Rodas aro 20";PB;Fevereiro;Pessoa Jurídica;2479;13;32227
Vanessa;Rodas aro 21";RR;Setembro;Pessoa Física;3200;12;38400
Renata;Rodas aro 22";AM;Novembro;Pessoa Física;3921;11;43131
Caio;Rodas aro 13";AM;Maio;Pessoa Física;780;9;7020
Priscila;Rodas aro 14";PR;Fevereiro;Pessoa Jurídica;980;9;8820
Mirian;Rodas aro 15";AM;Abril;Pessoa Jurídica;1020;9;9180
Murilo;Rodas aro 16";AM;Maio;Pessoa Jurídica;1340;8;10720
Roberto;Rodas aro 17";RR;Outubro;Pessoa Física;1870;8;14960
Myslaine;Rodas aro 18";PR;Novembro;Pessoa Jurídica;1910;8;15280
Katia;Rodas aro 19";AM;Outubro;Pessoa Física;2240;8;17920
Vanessa;Rodas aro 20";SC;Julho;Pessoa Física;2479;7;17353
Renata;Rodas aro 21";PB;Abril;Pessoa Física;3200;6;19200
Caio;Rodas aro 22";PB;Fevereiro;Pessoa Jurídica;3921;6;23526
Priscila;Rodas aro 13";AM;Abril;Pessoa Jurídica;780;5;3900
Mirian;Rodas aro 14";RS;Agosto;Pessoa Jurídica;980;2;1960
Murilo;Rodas aro 15";MT;Abril;Pessoa Física;1020;2;2040
Roberto;Rodas aro 16";RO;Maio;Pessoa Jurídica;1340;2;2680
Myslaine;Rodas aro 17";TO;Janeiro;Pessoa Física;1870;1;1870
Katia;Rodas aro 18";SE;Janeiro;Pessoa Física;1910;1;1910
Vanessa;Rodas aro 19";AP;Maio;Pessoa Física;2240;110;246400
Renata;Rodas aro 20";AP;Março;Pessoa Jurídica;2479;110;272690
Caio;Rodas aro 21";MT;Maio;Pessoa Jurídica;3200;109;348800
Priscila;Rodas aro 22";RN;Abril;Pessoa Jurídica;3921;109;427389
Mirian;Rodas aro 13";RR;Julho;Pessoa Física;780;105;81900
Murilo;Rodas aro 14";AC;Junho;Pessoa Jurídica;980;103;100940
Roberto;Rodas aro 15";AP;Fevereiro;Pessoa Física;1020;103;105060
Myslaine;Rodas aro 16";AL;Fevereiro;Pessoa Física;1340;102;136680
Katia;Rodas aro 17";RS;Novembro;Pessoa Física;1870;101;188870
Vanessa;Rodas aro 18";CE;Agosto;Pessoa Jurídica;1910;98;187180
Renata;Rodas aro 19";AC;Julho;Pessoa Jurídica;2240;98;219520
Caio;Rodas aro 20";RS;Maio;Pessoa Jurídica;2479;97;240463
Priscila;Rodas aro 21";MG;Outubro;Pessoa Física;3200;97;310400
Mirian;Rodas aro 22";RR;Setembro;Pessoa Jurídica;3921;97;380337
Murilo;Rodas aro 13";AM;Março;Pessoa Física;780;97;75660
Roberto;Rodas aro 14";DF;Março;Pessoa Física;980;95;93100
Myslaine;Rodas aro 15";SP;Abril;Pessoa Física;1020;94;95880
Katia;Rodas aro 16";PB;Abril;Pessoa Jurídica;1340;94;125960
Vanessa;Rodas aro 17";RO;Fevereiro;Pessoa Jurídica;1870;94;175780
Renata;Rodas aro 18";AM;Maio;Pessoa Jurídica;1910;91;173810
Caio;Rodas aro 19";RS;Setembro;Pessoa Física;2240;90;201600
Priscila;Rodas aro 20";ES;Fevereiro;Pessoa Jurídica;2479;90;223110
Mirian;Rodas aro 21";DF;Julho;Pessoa Física;3200;90;288000
Murilo;Rodas aro 22";RN;Setembro;Pessoa Física;3921;90;352890
Roberto;Rodas aro 13";RN;Julho;Pessoa Física;780;87;67860
Myslaine;Rodas aro 14";RJ;Janeiro;Pessoa Jurídica;980;86;84280
Katia;Rodas aro 15";MS;Fevereiro;Pessoa Jurídica;1020;86;87720
Vanessa;Rodas aro 16";PE;Janeiro;Pessoa Jurídica;1340;84;112560
Renata;Rodas aro 17";MA;Outubro;Pessoa Física;1870;84;157080
Caio;Rodas aro 18";AM;Janeiro;Pessoa Jurídica;1910;82;156620
Priscila;Rodas aro 19";RO;Setembro;Pessoa Física;2240;76;170240
Mirian;Rodas aro 20";RS;Maio;Pessoa Física;2479;75;185925
Murilo;Rodas aro 21";GO;Julho;Pessoa Física;3200;74;236800
Roberto;Rodas aro 22";SP;Outubro;Pessoa Jurídica;3921;74;290154
Myslaine;Rodas aro 13";PB;Dezembro;Pessoa Jurídica;780;72;56160
Katia;Rodas aro 14";MA;Abril;Pessoa Jurídica;980;71;69580
Vanessa;Rodas aro 15";PE;Maio;Pessoa Física;1020;68;69360
Renata;Rodas aro 16";PI;Julho;Pessoa Jurídica;1340;65;87100
Caio;Rodas aro 17";MA;Agosto;Pessoa Física;1870;64;119680
Priscila;Rodas aro 18";RR;Março;Pessoa Física;1910;63;120330
Mirian;Rodas aro 19";SP;Agosto;Pessoa Física;2240;62;138880
Murilo;Rodas aro 20";RN;Abril;Pessoa Jurídica;2479;61;151219
Roberto;Rodas aro 21";DF;Novembro;Pessoa Jurídica;3200;60;192000
Myslaine;Rodas aro 22";CE;Novembro;Pessoa Jurídica;3921;59;231339
Katia;Rodas aro 13";CE;Maio;Pessoa Física;780;58;45240
Vanessa;Rodas aro 14";SP;Janeiro;Pessoa Jurídica;980;57;55860
Renata;Rodas aro 15";AM;Janeiro;Pessoa Física;1020;57;58140
Caio;Rodas aro 16";SP;Maio;Pessoa Física;1340;57;76380
Priscila;Rodas aro 17";SC;Agosto;Pessoa Física;1870;57;106590
Mirian;Rodas aro 18";SC;Abril;Pessoa Jurídica;1910;55;105050
Murilo;Rodas aro 19";SE;Fevereiro;Pessoa Jurídica;2240;55;123200
Roberto;Rodas aro 20";CE;Maio;Pessoa Jurídica;2479;52;128908
Myslaine;Rodas aro 21";MS;Novembro;Pessoa Física;3200;51;163200
Katia;Rodas aro 22";TO;Outubro;Pessoa Jurídica;3921;51;199971
Vanessa;Rodas aro 13";GO;Setembro;Pessoa Física;780;51;39780
Renata;Rodas aro 14";RS;Junho;Pessoa Física;980;50;49000
Caio;Rodas aro 15";SE;Dezembro;Pessoa Física;1020;49;49980
Priscila;Rodas aro 16";DF;Agosto;Pessoa Jurídica;1340;49;65660
Mirian;Rodas aro 17";SC;Julho;Pessoa Jurídica;1870;46;86020
Murilo;Rodas aro 18";RR;Março;Pessoa Jurídica;1910;44;84040
Roberto;Rodas aro 19";TO;Dezembro;Pessoa Física;2240;43;96320
Myslaine;Rodas aro 20";PE;Setembro;Pessoa Jurídica;2479;39;96681
Katia;Rodas aro 21";ES;Abril;Pessoa Física;3200;39;124800
Vanessa;Rodas aro 22";MS;Dezembro;Pessoa Física;3921;38;148998
Renata;Rodas aro 13";PE;Junho;Pessoa Física;780;38;29640
Caio;Rodas aro 14";RN;Janeiro;Pessoa Jurídica;980;38;37240
Priscila;Rodas aro 15";CE;Junho;Pessoa Jurídica;1020;36;36720
Mirian;Rodas aro 16";AP;Janeiro;Pessoa Jurídica;1340;31;41540
Murilo;Rodas aro 17";MG;Dezembro;Pessoa Física;1870;30;56100
Roberto;Rodas aro 18";BA;Julho;Pessoa Jurídica;1910;30;57300
Myslaine;Rodas aro 19";PE;Janeiro;Pessoa Física;2240;30;67200
Katia;Rodas aro 20";MG;Janeiro;Pessoa Física;2479;28;69412
Vanessa;Rodas aro 21";AL;Junho;Pessoa Física;3200;27;86400
Renata;Rodas aro 22";AL;Outubro;Pessoa Jurídica;3921;24;94104
Caio;Rodas aro 13";RO;Outubro;Pessoa Jurídica;780;24;18720
Priscila;Rodas aro 14";RR;Fevereiro;Pessoa Jurídica;980;23;22540
Mirian;Rodas aro 15";GO;Maio;Pessoa Física;1020;23;23460
Murilo;Rodas aro 16";AL;Agosto;Pessoa Jurídica;1340;22;29480
Roberto;Rodas aro 17";SP;Julho;Pessoa Física;1870;18;33660
Myslaine;Rodas aro 18";SE;Abril;Pessoa Física;1910;16;30560
Katia;Rodas aro 19";MT;Março;Pessoa Física;2240;16;35840
Vanessa;Rodas aro 20";PR;Agosto;Pessoa Jurídica;2479;15;37185
Renata;Rodas aro 21";PB;Julho;Pessoa Jurídica;3200;15;48000
Caio;Rodas aro 22";CE;Fevereiro;Pessoa Jurídica;3921;14;54894
Priscila;Rodas aro 13";AM;Fevereiro;Pessoa Física;780;14;10920
Mirian;Rodas aro 14";RO;Maio;Pessoa Jurídica;980;13;12740
Murilo;Rodas aro 15";MG;Junho;Pessoa Física;1020;13;13260
Roberto;Rodas aro 16";SE;Abril;Pessoa Física;1340;11;14740
Myslaine;Rodas aro 17";PA;Julho;Pessoa Física;1870;6;11220
Katia;Rodas aro 18";SP;Março;Pessoa Jurídica;1910;6;11460
Vanessa;Rodas aro 19";PB;Janeiro;Pessoa Jurídica;2240;5;11200
Renata;Rodas aro 20";AL;Dezembro;Pessoa Jurídica;2479;3;7437
Caio;Rodas aro 21";CE;Dezembro;Pessoa Física;3200;110;352000
Priscila;Rodas aro 22";TO;Agosto;Pessoa Jurídica;3921;110;431310
Mirian;Rodas aro 13";SE;Julho;Pessoa Física;780;108;84240
Murilo;Rodas aro 14";RJ;Abril;Pessoa Física;980;104;101920
Roberto;Rodas aro 15";PR;Dezembro;Pessoa Física;1020;103;105060
Myslaine;Rodas aro 16";SP;Maio;Pessoa Jurídica;1340;102;136680
Katia;Rodas aro 17";AM;Setembro;Pessoa Jurídica;1870;99;185130
Vanessa;Rodas aro 18";MA;Novembro;Pessoa Jurídica;1910;97;185270
Renata;Rodas aro 19";GO;Outubro;Pessoa Física;2240;97;217280
Caio;Rodas aro 20";AM;Abril;Pessoa Jurídica;2479;97;240463
Priscila;Rodas aro 21";PA;Janeiro;Pessoa Física;3200;96;307200
Mirian;Rodas aro 22";PB;Dezembro;Pessoa Física;3921;95;372495
Murilo;Rodas aro 13";AL;Junho;Pessoa Física;780;92;71760
Roberto;Rodas aro 14";SC;Dezembro;Pessoa Jurídica;980;92;90160
Myslaine;Rodas aro 15";RN;Outubro;Pessoa Jurídica;1020;89;90780
Katia;Rodas aro 16";PR;Junho;Pessoa Jurídica;1340;86;115240
Vanessa;Rodas aro 17";SE;Setembro;Pessoa Física;1870;85;158950
Renata;Rodas aro 18";SC;Julho;Pessoa Jurídica;1910;85;162350
Caio;Rodas aro 19";MG;Junho;Pessoa Física;2240;84;188160
Priscila;Rodas aro 20";SC;Junho;Pessoa Física;2479;84;208236
Mirian;Rodas aro 21";SC;Maio;Pessoa Física;3200;83;265600
Murilo;Rodas aro 22";PR;Julho;Pessoa Jurídica;3921;81;317601
Roberto;Rodas aro 13";RO;Julho;Pessoa Jurídica;780;81;63180
Myslaine;Rodas aro 14";PR;Dezembro;Pessoa Jurídica;980;80;78400
Katia;Rodas aro 15";AP;Agosto;Pessoa Física;1020;79;80580
Vanessa;Rodas aro 16";RJ;Setembro;Pessoa Jurídica;1340;76;101840
Renata;Rodas aro 17";AL;Abril;Pessoa Física;1870;72;134640
Caio;Rodas aro 18";MG;Agosto;Pessoa Física;1910;70;133700
Priscila;Rodas aro 19";MT;Fevereiro;Pessoa Física;2240;70;156800
Mirian;Rodas aro 20";AP;Janeiro;Pessoa Jurídica;2479;67;166093
Murilo;Rodas aro 21";MS;Abril;Pessoa Jurídica;3200;66;211200
Roberto;Rodas aro 22";PA;Março;Pessoa Jurídica;3921;65;254865
Myslaine;Rodas aro 13";RN;Novembro;Pessoa Física;780;63;49140
Katia;Rodas aro 14";RR;Maio;Pessoa Jurídica;980;63;61740
Vanessa;Rodas aro 15";ES;Setembro;Pessoa Física;1020;62;63240
Renata;Rodas aro 16";RS;Abril;Pessoa Física;1340;60;80400
Caio;Rodas aro 17";BA;Novembro;Pessoa Física;1870;59;110330
Priscila;Rodas aro 18";PR;Maio;Pessoa Jurídica;1910;57;108870
Mirian;Rodas aro 19";GO;Agosto;Pessoa Jurídica;2240;51;114240
Murilo;Rodas aro 20";ES;Novembro;Pessoa Jurídica;2479;50;123950
Roberto;Rodas aro 21";SE;Fevereiro;Pessoa Física;3200;50;160000
Myslaine;Rodas aro 22";BA;Julho;Pessoa Jurídica;3921;49;192129
Katia;Rodas aro 13";MS;Maio;Pessoa Física;780;43;33540
Vanessa;Rodas aro 14";PE;Setembro;Pessoa Física;980;43;42140
Renata;Rodas aro 15";PE;Abril;Pessoa Física;1020;41;41820
Caio;Rodas aro 16";PB;Setembro;Pessoa Jurídica;1340;40;53600
Priscila;Rodas aro 17";AL;Fevereiro;Pessoa Jurídica;1870;37;69190
Mirian;Rodas aro 18";MT;Julho;Pessoa Jurídica;1910;35;66850
Murilo;Rodas aro 19";RJ;Abril;Pessoa Física;2240;35;78400
Roberto;Rodas aro 20";ES;Junho;Pessoa Jurídica;2479;32;79328
Myslaine;Rodas aro 21";RS;Novembro;Pessoa Física;3200;32;102400
Katia;Rodas aro 22";ES;Fevereiro;Pessoa Física;3921;30;117630
Vanessa;Rodas aro 13";SE;Outubro;Pessoa Física;780;25;19500
Renata;Rodas aro 14";CE;Março;Pessoa Jurídica;980;24;23520
Caio;Rodas aro 15";RS;Junho;Pessoa Jurídica;1020;22;22440
Priscila;Rodas aro 16";MG;Novembro;Pessoa Jurídica;1340;20;26800
Mirian;Rodas aro 17";MS;Dezembro;Pessoa Física;1870;19;35530
Murilo;Rodas aro 18";RJ;Julho;Pessoa Jurídica;1910;15;28650
Roberto;Rodas aro 19";BA;Março;Pessoa Física;2240;14;31360
Myslaine;Rodas aro 20";MA;Janeiro;Pessoa Física;2479;14;34706
Katia;Rodas aro 21";CE;Março;Pessoa Física;3200;12;38400
Vanessa;Rodas aro 22";MG;Maio;Pessoa Jurídica;3921;9;35289
Renata;Rodas aro 13";AM;Dezembro;Pessoa Jurídica;780;8;6240
Caio;Rodas aro 14";SE;Agosto;Pessoa Jurídica;980;8;7840
Priscila;Rodas aro 15";ES;Outubro;Pessoa Física;1020;6;6120
Mirian;Rodas aro 16";AC;Agosto;Pessoa Jurídica;1340;3;4020
Murilo;Rodas aro 17";AP;Março;Pessoa Física;1870;3;5610
Roberto;Rodas aro 18";GO;Dezembro;Pessoa Física;1910;3;5730
Myslaine;Rodas aro 19";MA;Dezembro;Pessoa Física;2240;2;4480
Katia;Rodas aro 20";TO;Janeiro;Pessoa Jurídica;2479;110;272690
Vanessa;Rodas aro 21";SE;Março;Pessoa Jurídica;3200;110;352000
Renata;Rodas aro 22";AL;Abril;Pessoa Jurídica;3921;108;423468
Caio;Rodas aro 13";PE;Março;Pessoa Física;780;106;82680
Priscila;Rodas aro 14";AC;Dezembro;Pessoa Jurídica;980;106;103880
Mirian;Rodas aro 15";RO;Maio;Pessoa Física;1020;105;107100
Murilo;Rodas aro 16";RS;Março;Pessoa Física;1340;104;139360
Roberto;Rodas aro 17";MS;Outubro;Pessoa Física;1870;103;192610
Myslaine;Rodas aro 18";RJ;Outubro;Pessoa Jurídica;1910;98;187180
Katia;Rodas aro 19";SP;Maio;Pessoa Jurídica;2240;98;219520
Vanessa;Rodas aro 20";PR;Setembro;Pessoa Jurídica;2479;96;237984
Renata;Rodas aro 21";RO;Junho;Pessoa Física;3200;94;300800
Caio;Rodas aro 22";MG;Dezembro;Pessoa Jurídica;3921;94;368574
Priscila;Rodas aro 13";RN;Setembro;Pessoa Física;780;94;73320
Mirian;Rodas aro 14";RN;Março;Pessoa Física;980;93;91140
Murilo;Rodas aro 15";MT;Setembro;Pessoa Física;1020;93;94860
Roberto;Rodas aro 16";RJ;Março;Pessoa Jurídica;1340;93;124620
Myslaine;Rodas aro 17";ES;Junho;Pessoa Jurídica;1870;92;172040
Katia;Rodas aro 18";RJ;Maio;Pessoa Jurídica;1910;89;169990
Vanessa;Rodas aro 19";BA;Outubro;Pessoa Física;2240;89;199360
Renata;Rodas aro 20";AP;Julho;Pessoa Jurídica;2479;89;220631
Caio;Rodas aro 21";RS;Março;Pessoa Física;3200;88;281600
Priscila;Rodas aro 22";MG;Junho;Pessoa Física;3921;86;337206
Mirian;Rodas aro 13";BA;Abril;Pessoa Física;780;84;65520
Murilo;Rodas aro 14";AL;Novembro;Pessoa Jurídica;980;83;81340
Roberto;Rodas aro 15";PB;Novembro;Pessoa Jurídica;1020;80;81600
Myslaine;Rodas aro 16";RO;Abril;Pessoa Jurídica;1340;79;105860
Katia;Rodas aro 17";ES;Maio;Pessoa Física;1870;79;147730
Vanessa;Rodas aro 18";MS;Abril;Pessoa Jurídica;1910;79;150890
Renata;Rodas aro 19";PE;Abril;Pessoa Física;2240;77;172480
Caio;Rodas aro 20";RR;Outubro;Pessoa Física;2479;76;188404
Priscila;Rodas aro 21";AC;Outubro;Pessoa Física;3200;75;240000
Mirian;Rodas aro 22";AM;Novembro;Pessoa Jurídica;3921;75;294075
Murilo;Rodas aro 13";DF;Setembro;Pessoa Jurídica;780;75;58500
Roberto;Rodas aro 14";MG;Maio;Pessoa Jurídica;980;74;72520
Myslaine;Rodas aro 15";MA;Junho;Pessoa Física;1020;73;74460
Katia;Rodas aro 16";BA;Agosto;Pessoa Jurídica;1340;72;96480
Vanessa;Rodas aro 17";AP;Julho;Pessoa Física;1870;71;132770
Renata;Rodas aro 18";RJ;Fevereiro;Pessoa Física;1910;69;131790
Caio;Rodas aro 19";RS;Abril;Pessoa Física;2240;68;152320
Priscila;Rodas aro 20";AL;Julho;Pessoa Jurídica;2479;64;158656
Mirian;Rodas aro 21";AM;Fevereiro;Pessoa Jurídica;3200;64;204800
Murilo;Rodas aro 22";AM;Abril;Pessoa Jurídica;3921;64;250944
Roberto;Rodas aro 13";DF;Janeiro;Pessoa Física;780;62;48360
Myslaine;Rodas aro 14";SC;Dezembro;Pessoa Jurídica;980;62;60760
Katia;Rodas aro 15";AL;Novembro;Pessoa Física;1020;59;60180
Vanessa;Rodas aro 16";PE;Agosto;Pessoa Física;1340;56;75040
Renata;Rodas aro 17";MS;Junho;Pessoa Física;1870;56;104720
Caio;Rodas aro 18";SE;Junho;Pessoa Jurídica;1910;52;99320
Priscila;Rodas aro 19";SE;Outubro;Pessoa Jurídica;2240;51;114240
Mirian;Rodas aro 20";TO;Julho;Pessoa Jurídica;2479;47;116513
Murilo;Rodas aro 21";RR;Maio;Pessoa Física;3200;46;147200
Roberto;Rodas aro 22";RR;Janeiro;Pessoa Jurídica;3921;40;156840
Myslaine;Rodas aro 13";SP;Junho;Pessoa Física;780;40;31200
Katia;Rodas aro 14";MS;Agosto;Pessoa Física;980;39;38220
Vanessa;Rodas aro 15";TO;Março;Pessoa Física;1020;37;37740
Renata;Rodas aro 16";RS;Dezembro;Pessoa Jurídica;1340;35;46900
Caio;Rodas aro 17";BA;Setembro;Pessoa Jurídica;1870;35;65450
Priscila;Rodas aro 18";PB;Abril;Pessoa Jurídica;1910;33;63030
Mirian;Rodas aro 19";PI;Março;Pessoa Física;2240;33;73920
Murilo;Rodas aro 20";PB;Janeiro;Pessoa Jurídica;2479;32;79328
Roberto;Rodas aro 21";MG;Julho;Pessoa Física;3200;29;92800
Myslaine;Rodas aro 22";GO;Novembro;Pessoa Física;3921;26;101946
Katia;Rodas aro 13";DF;Junho;Pessoa Física;780;25;19500
Vanessa;Rodas aro 14";ES;Novembro;Pessoa Jurídica;980;21;20580
Renata;Rodas aro 15";AM;Agosto;Pessoa Jurídica;1020;21;21420
Caio;Rodas aro 16";MT;Setembro;Pessoa Jurídica;1340;20;26800
Priscila;Rodas aro 17";RO;Março;Pessoa Física;1870;20;37400
Mirian;Rodas aro 18";MT;Junho;Pessoa Jurídica;1910;19;36290
Murilo;Rodas aro 19";AP;Dezembro;Pessoa Física;2240;18;40320
Roberto;Rodas aro 20";PB;Junho;Pessoa Física;2479;18;44622
Myslaine;Rodas aro 21";CE;Dezembro;Pessoa Física;3200;18;57600
Katia;Rodas aro 22";GO;Dezembro;Pessoa Jurídica;3921;18;70578
Vanessa;Rodas aro 13";RS;Novembro;Pessoa Jurídica;780;17;13260
Renata;Rodas aro 14";BA;Julho;Pessoa Jurídica;980;17;16660
Caio;Rodas aro 15";AC;Outubro;Pessoa Física;1020;17;17340
Priscila;Rodas aro 16";PE;Novembro;Pessoa Jurídica;1340;15;20100
Mirian;Rodas aro 17";SE;Maio;Pessoa Física;1870;14;26180
Murilo;Rodas aro 18";GO;Agosto;Pessoa Física;1910;14;26740
Roberto;Rodas aro 19";PB;Maio;Pessoa Física;2240;13;29120
Myslaine;Rodas aro 20";RN;Novembro;Pessoa Jurídica;2479;12;29748
Katia;Rodas aro 21";SP;Março;Pessoa Jurídica;3200;11;35200
Vanessa;Rodas aro 22";PI;Maio;Pessoa Jurídica;3921;11;43131
Renata;Rodas aro 13";AM;Julho;Pessoa Física;780;11;8580
Caio;Rodas aro 14";RJ;Dezembro;Pessoa Jurídica;980;10;9800
Priscila;Rodas aro 15";SE;Abril;Pessoa Física;1020;7;7140
Mirian;Rodas aro 16";DF;Julho;Pessoa Física;1340;6;8040
Murilo;Rodas aro 17";AC;Dezembro;Pessoa Física;1870;3;5610
Roberto;Rodas aro 18";MS;Maio;Pessoa Jurídica;1910;1;1910
Myslaine;Rodas aro 19";PA;Dezembro;Pessoa Jurídica;2240;1;2240
Katia;Rodas aro 20";PE;Maio;Pessoa Jurídica;2479;1;2479
Vanessa;Rodas aro 21";RO;Junho;Pessoa Física;3200;1;3200
Renata;Rodas aro 22";SP;Novembro;Pessoa Jurídica;3921;1;3921
Caio;Rodas aro 13";RN;Setembro;Pessoa Física;780;110;85800
Priscila;Rodas aro 14";ES;Outubro;Pessoa Física;980;109;106820
Mirian;Rodas aro 15";AM;Dezembro;Pessoa Física;1020;108;110160
Murilo;Rodas aro 16";ES;Abril;Pessoa Jurídica;1340;107;143380
Roberto;Rodas aro 17";MT;Maio;Pessoa Jurídica;1870;106;198220
Myslaine;Rodas aro 18";PA;Outubro;Pessoa Jurídica;1910;106;202460
Katia;Rodas aro 19";PR;Junho;Pessoa Física;2240;105;235200
Vanessa;Rodas aro 20";PE;Outubro;Pessoa Jurídica;2479;105;260295
Renata;Rodas aro 21";RO;Outubro;Pessoa Física;3200;104;332800
Caio;Rodas aro 22";AC;Dezembro;Pessoa Física;3921;102;399942
Priscila;Rodas aro 13";CE;Agosto;Pessoa Física;780;101;78780
Mirian;Rodas aro 14";SC;Fevereiro;Pessoa Jurídica;980;99;97020
Murilo;Rodas aro 15";RO;Maio;Pessoa Jurídica;1020;97;98940
Roberto;Rodas aro 16";SE;Setembro;Pessoa Jurídica;1340;97;129980
Myslaine;Rodas aro 17";CE;Julho;Pessoa Física;1870;96;179520
Katia;Rodas aro 18";RS;Maio;Pessoa Jurídica;1910;95;181450
Vanessa;Rodas aro 19";PA;Outubro;Pessoa Física;2240;95;212800
Renata;Rodas aro 20";RN;Agosto;Pessoa Física;2479;94;233026
Caio;Rodas aro 21";PI;Outubro;Pessoa Física;3200;91;291200
Priscila;Rodas aro 22";PA;Março;Pessoa Jurídica;3921;87;341127
Mirian;Rodas aro 13";BA;Abril;Pessoa Jurídica;780;87;67860
Murilo;Rodas aro 14";MT;Janeiro;Pessoa Jurídica;980;86;84280
Roberto;Rodas aro 15";MA;Junho;Pessoa Física;1020;86;87720
Myslaine;Rodas aro 16";PE;Março;Pessoa Jurídica;1340;85;113900
Katia;Rodas aro 17";GO;Fevereiro;Pessoa Física;1870;85;158950
Vanessa;Rodas aro 18";RS;Junho;Pessoa Física;1910;82;156620
Renata;Rodas aro 19";DF;Abril;Pessoa Física;2240;80;179200
Caio;Rodas aro 20";PR;Janeiro;Pessoa Jurídica;2479;79;195841
Priscila;Rodas aro 21";AL;Maio;Pessoa Jurídica;3200;78;249600
Mirian;Rodas aro 22";RO;Dezembro;Pessoa Jurídica;3921;77;301917
Murilo;Rodas aro 13";AM;Novembro;Pessoa Física;780;75;58500
Roberto;Rodas aro 14";AL;Abril;Pessoa Jurídica;980;71;69580
Myslaine;Rodas aro 15";ES;Fevereiro;Pessoa Física;1020;69;70380
Katia;Rodas aro 16";RO;Outubro;Pessoa Física;1340;68;91120
Vanessa;Rodas aro 17";SE;Agosto;Pessoa Física;1870;68;127160
Renata;Rodas aro 18";DF;Julho;Pessoa Jurídica;1910;65;124150
Caio;Rodas aro 19";TO;Junho;Pessoa Jurídica;2240;64;143360
Priscila;Rodas aro 20";RO;Outubro;Pessoa Jurídica;2479;63;156177
Mirian;Rodas aro 21";SE;Agosto;Pessoa Física;3200;63;201600
Murilo;Rodas aro 22";DF;Agosto;Pessoa Jurídica;3921;63;247023
Roberto;Rodas aro 13";SE;Março;Pessoa Física;780;63;49140
Myslaine;Rodas aro 14";DF;Agosto;Pessoa Física;980;60;58800
Katia;Rodas aro 15";RS;Outubro;Pessoa Física;1020;60;61200
Vanessa;Rodas aro 16";PB;Junho;Pessoa Jurídica;1340;60;80400
Renata;Rodas aro 17";SP;Fevereiro;Pessoa Jurídica;1870;59;110330
Caio;Rodas aro 18";MS;Julho;Pessoa Jurídica;1910;59;112690
Priscila;Rodas aro 19";RS;Novembro;Pessoa Física;2240;59;132160
Mirian;Rodas aro 20";MG;Novembro;Pessoa Jurídica;2479;58;143782
Murilo;Rodas aro 21";MA;Janeiro;Pessoa Física;3200;58;185600
Roberto;Rodas aro 22";TO;Outubro;Pessoa Física;3921;57;223497
Myslaine;Rodas aro 13";TO;Maio;Pessoa Física;780;57;44460
Katia;Rodas aro 14";GO;Dezembro;Pessoa Jurídica;980;56;54880
Vanessa;Rodas aro 15";RN;Maio;Pessoa Jurídica;1020;56;57120
Renata;Rodas aro 16";AL;Junho;Pessoa Jurídica;1340;55;73700
Caio;Rodas aro 17";BA;Março;Pessoa Física;1870;55;102850
Priscila;Rodas aro 18";GO;Dezembro;Pessoa Jurídica;1910;55;105050
Mirian;Rodas aro 19";AM;Março;Pessoa Física;2240;52;116480
Murilo;Rodas aro 20";MA;Junho;Pessoa Física;2479;52;128908
Roberto;Rodas aro 21";AP;Outubro;Pessoa Física;3200;51;163200
Myslaine;Rodas aro 22";AC;Setembro;Pessoa Jurídica;3921;49;192129
Katia;Rodas aro 13";RS;Abril;Pessoa Jurídica;780;49;38220
Vanessa;Rodas aro 14";CE;Dezembro;Pessoa Jurídica;980;47;46060
Renata;Rodas aro 15";PI;Dezembro;Pessoa Física;1020;47;47940
Caio;Rodas aro 16";TO;Maio;Pessoa Jurídica;1340;46;61640
Priscila;Rodas aro 17";RO;Janeiro;Pessoa Física;1870;40;74800
Mirian;Rodas aro 18";PR;Outubro;Pessoa Física;1910;39;74490
Murilo;Rodas aro 19";AC;Março;Pessoa Física;2240;38;85120
Roberto;Rodas aro 20";SC;Maio;Pessoa Jurídica;2479;38;94202
Myslaine;Rodas aro 21";AM;Março;Pessoa Jurídica;3200;37;118400
